id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
786364c2-ff16-5430-8390-77a486ffb1b1,Jl. Puncak Permai,street,BARAT1,,-7.27823514,112.69254362
bc2eeaa6-c20d-536b-8218-e8adeea5a029,Jl. Puncak Permai,street,BARAT1,,-7.27817791,112.69201659
cd5b6c65-e284-59d6-a267-0d6a79e630ad,Jl. Raya Dukuh Kupang - Pulau 1,street,BARAT1,,-7.28534745,112.71534886
1f038763-da7e-5fe1-b31c-cbf4ae9e000e,Jl. Raya Dukuh Kupang - Pulau 2,street,BARAT1,,-7.28324110,112.71607548
ed3c484f-e0bf-5373-b81e-5247f3adac3d,Jl. Raya Dukuh Kupang - Pulau 3,street,BARAT1,,-7.28115516,112.71676912
5850cd4e-9a30-5e56-9e2b-dc6c8fef8bd4,Jl. Raya Dukuh Kupang - Pulau 4,street,BARAT1,,-7.27980292,112.71725739
74032a72-9ee5-58da-84b6-6066e0c0097b,JL. RAYA SATELIT SELATAN,street,BARAT1,,-7.26900298,112.69200163
528a695b-8590-5298-b959-a7a6bfc42e63,Jl. Simojawar,street,BARAT1,,-7.26724336,112.70314168
bdbd08bd-b50b-528a-a9c8-23395f3dbe96,Jl. Simojawar,street,BARAT1,,-7.26656139,112.70591913
29846198-2481-58ee-a6a2-b9e98feb3caa,Jl. Simokalangan - Jalur Hijau,street,BARAT1,,-7.26700567,112.70843278
b92feb41-a2a1-5385-ae7b-7e93c3802549,Jl. Simomagersari - Taman Sriti,street,BARAT1,,-7.26826983,112.71314870
16a8cb00-da99-52a3-9862-537fd8dd44ea,Jl. Simopomahan - Akses Tol Banyu Urip,street,BARAT1,,-7.26605298,112.70695903
5c2cf580-cf3c-5d0a-b8f0-b82ffc7d2bc6,Jl. Simopomahan - Akses Tol Banyu Urip,street,BARAT1,,-7.26586290,112.70712405
eb9554da-b256-5508-b5a7-ae733daf684d,Jl. Sukomanunggal Jaya - Jalur Tepi (Seberang Indomaret - Kejari),street,BARAT1,,-7.26953181,112.69633936
8d720350-54e2-5116-8bee-5cb785142902,JL. SUKOMANUNGGAL JAYA PULAU 1,street,BARAT1,,-7.27303101,112.69861679
fada44a9-2354-57dd-a7c1-7beedc8b29f9,JL. SUKOMANUNGGAL JAYA PULAU 1,street,BARAT1,,-7.27229710,112.69863123
072f4374-689b-579b-aa9d-30500c2a7c27,JL. SUKOMANUNGGAL JAYA PULAU 2,street,BARAT1,,-7.27120948,112.69795999
d2e87631-6458-5d7c-973a-c91a14ae01d1,JL. SUKOMANUNGGAL JAYA PULAU 3,street,BARAT1,,-7.26945889,112.69626745
07d65fda-d46d-5231-9449-6399988f5881,JL. SUKOMANUNGGAL JAYA PULAU 4,street,BARAT1,,-7.26905094,112.69436677
2de5f738-f5a3-5a95-8e34-f944a5589542,JL. SUKOMANUNGGAL JAYA ROTONDE,street,BARAT1,,-7.26926615,112.69646131
24323db8-d628-5aff-8eba-2c603fa5218e,Jl. Sukomanunggal Pulau 1 (STK - TL DST),street,BARAT1,,-7.26441397,112.69721516
7e9e14b9-823a-5b4b-b892-0aeb2feeaf48,Jl. Sukomanunggal Pulau 2 (TL DST - TL Tanjungsari),street,BARAT1,,-7.26165567,112.69361097
9ced3f4b-7b20-5675-a70e-5d64e8d32ef7,Jl. Tandes Lor S.D Tl Darmo Indah,street,BARAT1,,-7.25954706,112.68729295
d704c973-3d47-5b99-b2f2-8c2341cfea77,Jl. Tanjungsari - Boxculvert,street,BARAT1,,-7.26038148,112.69036821
2e0b134e-7565-547f-881b-d4c281f857e7,Jl. Tanjungsari - Rotonde,street,BARAT1,,-7.26069035,112.69234170
